"7";"GR    ";"GUIA DE REMISION CERAMICA                         ";"25";"GR    "
"9";"2";"BOLETA DE COMPRA                                  ";"50";"BV.   "
"11";"4";"BOLETA VENTA                                      ";"10";"BV    "
"18";"11";"ANTICIPO VENTA                                    ";"50";"AN    "
"19";"12";"FACTURA DE VENTA                                  ";"20";"FA    "
"21";"14";"NOTA DE DEBITO                                    ";"30";"ND    "
"24";"17";"GUIA DE ENTRADA                                   ";"50";"GE    "
"30";"23";"NOTA DE CREDITO                                   ";"99";"NC    "
"36";"29";"ORDEN DE COMPRA NACIONAL                          ";"1000";"OCN   "
"38";"31";"OTROS POR COBRAR                                  ";"500";"OC    "
"41";"34";"LETRA DE VENTA                                    ";"50";"LT    "
"55";"44";"PEDIDO DE VENTA                                   ";"70";"PD    "
"56";"45";"GUIA DE TRASLADO                                  ";"50";"GT    "
"57";"46";"LETRA DE COMPRA                                   ";"50";"LT.   "
"58";"47";"INVENTARIO                                        ";"5000";"IN    "
"59";"48";"RECIBO DE EGRESOS                                 ";"50";"RG    "
"60";"49";"RECIBO DE INGRESOS                                ";"50";"RI    "
"65";"54";"GUIA DE DEVOLUCION NC                             ";"50";"GD    "
"66";"55";"POLIZA                                            ";"500";"PZ.   "
"67";"56";"OTROS POR PAGAR                                   ";"100";"OP    "
"69";"58";"PROVISION COSTOS                                  ";"50";"PC    "
"72";"61";"FACTURA COMPRA                                    ";"50";"FA.   "
"73";"62";"ORDEN DE COMPRA IMPORTACION                       ";"1000";"OCI   "
"74";"63";"ANTICIPO COMPRA                                   ";"50";"AN.   "
"77";"66";"REPARABLE                                         ";"50";"RR    "
"78";"67";"COMPROBANTE DE PERCEPCION XP                      ";"50";"CP.   "
"79";"68";"RECIBO POR SERVICIOS PUBLICOS                     ";"50";"RS    "
"80";"69";"TICKET DE MAQUINA REGISTRADORA                    ";"50";"TK    "
"81";"70";"RECIBO POR HONORARIOS                             ";"50";"RE    "
"82";"71";"BOLETO DE AVION                                   ";"50";"BA    "
"83";"72";"BOLETO DE VIAJE TERRESTRE                         ";"50";"BJ    "
"84";"73";"CONOCIMIENTO DE EMBARQUE                          ";"50";"CE    "
"87";"76";"CHEQUE POR COBRAR                                 ";"50";"CH    "
"88";"77";"OPERACION BANCARIA POR COBRAR                     ";"50";"OB    "
"89";"78";"OPERACION BANCARIA POR PAGAR                      ";"50";"OB.   "
"91";"80";"COMPROBANTE DE RETENCION                          ";"50";"CR    "
"92";"81";"CHEQUE POR PAGAR                                  ";"50";"CH.   "
"93";"82";"NOTA DE CREDITO COMPRA                            ";"50";"NC.   "
"94";"83";"NOTA DE DEBITO COMPRA                             ";"50";"ND.   "
"95";"84";"PLANILLA                                          ";"50";"PL    "
"97";"86";"AJUSTE COBRO                                      ";"50";"86"
"101";"88";"DOCUMENTO UNICO DE ADUANA                         ";"50";"DUA   "
"102";"89";"OTROS POR RENDIR                                  ";"50";"OR    "
"103";"90";"FACTURA COMERCIAL INTERNACIONAL                   ";"50";"FA,   "
"104";"91";"GUIA DE SALIDA                                    ";"50";"GS    "
"111";"95";"COMPROBANTE DE PERCEPCION XC                      ";"50";"CP    "
"112";"96";"RECLAMACIONES POR COBRAR                          ";"50";"RC    "
"113";"97";"NOTA CREDITO INTERNACIONAL                        ";"50";"NC,   "
"114";"98";"NOTA DEBITO INTERNACIONAL                         ";"50";"ND,   "
"115";"99";"GUIA REMISION TRASLADO                            ";"50";"GRT   "
